Customer,Product,Demand per week (units)
Super,Fressie Orange PET,32933
Super,Fressie Orange/C-power PET,3622
Super,Fressie Orange/Mango PET,10274
Super,Fressie Orange 1 liter,24853
Super,Fressie Orange/Mango 1 liter,2221
Super,Fressie Orange/Mango+C 1L,8333
Convi,Fressie Orange PET,99464
Convi,Fressie Orange/C-power PET,10798
Convi,Fressie Orange/Mango PET,30778
SAVE,Fressie Orange PET,33656
SAVE,Fressie Orange/C-power PET,3622
SAVE,Fressie Orange/Mango PET,10261
SAVE,Fressie Orange 1 liter,101038
SAVE,Fressie Orange/Mango 1 liter,8788
SAVE,Fressie Orange/Mango+C 1L,33544
